D,H,J,K,L,M,N,P,Q,R,U,V,X,b,fraud
1.235411994,0.946936012,-0.676336729,-1.110093521,0.695125857,-0.267140106,-0.428424153,-0.418430469,0.026216882,-0.284289729,-0.019634316,-1.564346524,1.035723612,0.162451919,0
-0.426748189,-0.160498207,0.584353386,-0.205193239,-0.10754664,-0.387271817,0.407617758,-1.15976946,-0.30373252,1.664677547,-0.181763109,-1.112778606,-0.773141254,0.061000647,0
-3.508833495,1.086629659,1.042507175,-0.711977789,-1.136429916,0.289400881,0.278869351,-0.170468058,-0.009526249,0.327835245,-0.037161311,0.087060609,0.982350254,0.200125612,0
1.5395522,0.026696048,-0.368099673,-0.242538052,0.082295796,-0.41649197,-1.108734723,0.62352436,0.489565092,0.208053791,-0.230063719,-0.712863817,0.892366888,0.021219863,0
1.157186125,-0.048273759,-1.441596218,1.627218068,0.162925097,0.594596233,-3.354077517,1.308201263,2.206550011,1.749971929,-0.213041327,-0.48026933,-1.650415377,0.071042513,0
-1.368470819,0.23358691,-0.724119872,-0.512059012,0.838957622,0.775138751,-0.906049166,0.334519845,-0.910238227,-0.031507833,-0.134120206,-0.031009054,-1.634421476,-0.06605594,0
0.671614595,-0.048070954,0.091234233,-1.067542712,-0.519525052,-1.264760736,0.25329121,0.593741847,-0.587276892,0.324206418,0.241491412,0.517755473,0.048951158,-0.027170609,0
-0.022259631,-0.328037145,-0.344190186,-0.360443189,-0.22350574,-0.08866314,0.011783325,0.105786079,-0.480651472,-0.331251779,-0.196711539,-0.527466917,0.360975277,-0.103674339,0
0.191677446,0.614323273,-0.107178132,0.952353195,0.755219145,-1.086892808,0.292367455,-0.533022079,0.101096117,-0.52280094,0.302361701,1.151367068,-1.350138651,-0.062840392,0
0.508671555,0.103911841,0.07809239,1.776565169,0.86740567,-0.47030331,0.604629279,0.177385608,-0.284370959,-0.483516563,-0.172662231,-0.532322949,0.201198803,0.005956772,0
0.37945855,-0.381452634,0.025139127,-0.523239155,1.153931072,1.423642977,0.00800774,-0.206592218,-0.334506807,-1.101308715,-0.272370478,-0.57788097,-0.046783109,-0.058277046,0
1.688673568,1.002349346,-1.252818427,0.370796506,0.017768142,0.308965078,-2.781759195,1.148244557,3.293204732,1.55891777,-0.07839912,-0.217036652,0.031242569,-0.05751349,0
-1.934043702,0.295067896,-1.075706707,0.680842623,-2.690298065,0.977069126,1.941726945,-0.892684913,0.160652361,-0.337103271,0.011047444,0.386094671,0.684229469,-0.117641967,0
1.212081783,-0.380006315,-0.114925388,-0.085943806,0.904790873,1.106636754,0.334453377,-0.040255984,-0.411192474,-0.78732185,-0.280526522,-1.141339862,0.370251824,0.053926535,0
3.411876363,0.695753419,-3.737277997,2.713438675,-3.929813812,-0.290011875,-6.089083933,-3.080712332,-6.455561901,-1.823931626,1.540425279,-0.780307383,0.009015011,-1.033084057,1
-0.638390904,0.021091985,0.370747766,-0.453729059,-3.897711651,0.378171044,1.057439982,1.290450743,0.8769676,-0.415639638,0.251790067,0.975645954,0.530560371,-0.048354915,0
0.607337571,-0.044748997,-0.484988413,0.726694025,0.230598537,-1.097139896,-1.33904798,0.388615921,0.978755326,0.79761207,-0.005252134,0.230467557,-0.488147999,-0.045738641,0
-1.211156701,0.936504776,-0.251199532,-0.180048384,-0.245233544,-0.053941964,0.290875674,0.52730725,-0.891278434,0.098422227,-0.281296913,-0.903765639,0.983189528,0.114251404,0
1.907173222,-0.135063202,-0.993253769,1.577805052,-0.349911761,0.448711955,-3.898306758,2.294504906,2.256773695,2.045643226,-0.260808952,-0.720903839,-1.132946294,0.069415046,0
-0.56477003,-0.563975728,1.996791363,1.216507516,-4.504985702,0.656776602,0.590400492,0.827857777,0.601515625,0.241288571,-0.367622716,0.931862693,-1.737875578,-0.339855373,0
0.144307318,-0.77165368,1.237624315,-0.710748581,-0.360760977,1.194644163,0.305501285,-3.045820595,0.729280805,1.067339673,-0.20756538,0.233313735,-0.027514047,-0.039705863,0
7.05559553,1.381270779,-6.776291508,6.87463618,-10.57533407,1.805293341,-11.51674713,-6.098481255,-10.22459886,-3.200090014,1.002700199,0.277489815,-0.517089642,-0.185732624,1
-0.31210432,-0.289781837,0.186940908,0.456394452,0.479683222,-0.494298124,1.052349776,-0.271592765,-0.678917797,0.15761101,0.154768501,0.501010352,0.077811871,-0.089281229,0
-1.282809571,-0.044273064,0.626200445,0.74667057,0.152558023,-1.412875114,1.037993179,-0.529825409,-0.463536329,0.086198651,0.198229651,0.942482693,0.030457587,0.151837279,0
0.065089645,0.129763867,-0.438434498,-1.049567853,0.894326121,1.235459981,-0.590063367,0.474364222,-0.904237546,0.672055295,0.278954213,0.91222247,0.506401066,-0.002745989,0
0.17378903,0.48933545,-0.475685591,0.350734427,1.20389745,0.375005283,0.074242666,-0.071023487,-0.181372114,0.181030265,0.131634979,0.429380168,0.061409295,0.00944341,0
3.266618161,0.63411559,-5.838533428,3.538884835,-5.512572222,0.675809843,-8.55102768,-4.77136848,-4.468252411,-1.446391437,0.750252966,0.152918355,-0.287081465,0.340235335,1
3.168681591,0.186521066,0.937868634,-1.801236533,-1.175687177,-1.070074503,-0.13501314,1.003241457,-0.796552518,0.450114084,0.367669993,1.069649009,0.00877034,0.236561053,0
7.484243661,1.589606142,-9.599979631,8.506593849,-13.25526809,0.41665415,-14.71599194,-5.844333479,-8.023018827,-2.506063582,1.038788998,-0.373958381,-0.837936713,0.668176831,1
0.831144786,-0.65159253,2.211601372,2.289252078,0.446748793,0.141796836,-3.577252281,-0.01692139,2.397606661,0.284443839,-0.897548059,0.752091256,-1.643975388,2.144211549,0
0.811867525,-0.759677871,-1.604302408,1.779001753,-2.356666174,-1.15993886,-1.96555678,-0.745644976,-1.747239769,-0.286389647,-0.115833459,0.970821393,-0.559871701,0.271579563,1
-1.442979563,-0.191492221,1.574794248,-1.10109596,-1.030599268,-0.054582184,-0.445500554,-0.423304353,0.476108542,0.063589962,-0.155264034,0.088283108,0.012050254,-0.047175792,0
2.449280007,-1.320014894,-3.658414241,1.600143563,-3.747004773,-1.313431593,-5.989177966,-2.471734306,-0.994657359,-0.065320677,2.388895545,-0.312326552,-0.323048232,-0.083144478,1
0.32460104,-0.11397541,-0.015174613,1.404243744,0.637966014,-0.099870191,0.314705638,-0.261039011,-0.527984326,0.048287588,0.20743686,0.799230561,0.028760272,-0.049335159,0
7.729917957,0.837339662,-2.267071701,4.271873709,-8.548668348,-1.11272341,-13.31701981,-4.219464523,-5.544359586,-1.222546204,0.559383749,0.634579048,-0.627053245,0.409377735,1
-1.609304746,0.769684244,1.327125126,-0.2766603,0.369635841,0.073395306,-0.158095608,0.359032351,-0.250045288,-0.892895781,-0.239707402,-0.29331998,0.084058034,0.1506333,0
0.68558447,0.083320357,-0.009158125,0.562936599,0.494713645,-1.114222087,0.325340509,0.063481998,-0.276583424,0.025199394,-0.193375522,-0.537981758,0.020685287,0.0031515,0
-0.998412468,-0.176886093,0.925641618,0.790911628,0.28311492,0.206694272,0.048007404,0.978432503,0.029534759,-1.401124238,-0.034920247,-0.090544691,-0.402660107,-0.071157656,0
-0.13917425,-0.066913185,-0.539056416,-0.825790554,0.067152403,1.064622301,-0.638079288,0.590995888,-0.342721837,0.039365904,-0.306458522,-0.778650017,-0.485615976,0.091892582,0
0.379104643,-0.267585259,0.310687336,0.724055821,0.528704578,-1.237768185,0.814585357,-0.353677371,-0.229864242,-0.260379139,0.008000282,0.165431396,0.111183632,-0.08902231,0
0.434951863,0.137663133,0.013040059,0.731511802,0.892919086,-0.608590879,0.132807258,0.214826473,-0.625357468,0.650539229,0.25005826,0.919739802,0.026318083,-0.047452094,0
-1.144886293,0.556978368,-0.802790251,0.996646424,0.95770812,0.454429053,0.605664382,0.697460354,-0.704299277,-0.160833485,-0.395291665,-1.415123877,0.727285607,0.020206541,0
0.174548859,-0.25119631,0.084001147,-1.721955075,-0.06391126,-0.053857961,0.272548922,0.211900681,-0.648839388,-0.493888371,-0.361544778,-0.914644261,-1.011920411,-0.071262333,0
0.373480619,-0.04516814,-0.187516802,1.113168814,0.319346603,-1.137363235,-0.415251519,0.512036651,0.353639594,0.264396817,-0.30025241,-0.897996615,0.641099183,-0.037370331,0
