A,C,D,G,H,J,K,M,N,R,W,Z,a,b,fraud
-0.346021405,-1.230005188,1.235411994,0.002709773,0.946936012,-0.676336729,-1.110093521,-0.267140106,-0.428424153,-0.284289729,-0.674894755,-0.607526147,-0.072633524,0.162451919,0
0.484041649,-0.944259691,-0.426748189,0.257691649,-0.160498207,0.584353386,-0.205193239,-0.387271817,0.407617758,1.664677547,-0.590687746,1.095961115,-0.172976106,0.061000647,0
-0.249605348,-1.616743234,-3.508833495,-0.653651697,1.086629659,1.042507175,-0.711977789,0.289400881,0.278869351,0.327835245,0.068659827,-0.405239728,0.333890384,0.200125612,0
1.810797759,-0.75904446,1.5395522,-0.274441412,0.026696048,-0.368099673,-0.242538052,-0.41649197,-1.108734723,0.208053791,0.410102355,-1.038122515,0.053786619,0.021219863,0
1.255961168,-2.151835754,1.157186125,0.608591435,-0.048273759,-1.441596218,1.627218068,0.594596233,-3.354077517,1.749971929,-0.36752526,-0.199753035,0.054576446,0.071042513,0
-0.303052878,1.375142132,-1.368470819,0.216505688,0.23358691,-0.724119872,-0.512059012,0.775138751,-0.906049166,-0.031507833,-0.075808634,0.746207276,-0.033924654,-0.06605594,0
1.778036851,-0.426090477,0.671614595,-0.501283898,-0.048070954,0.091234233,-1.067542712,-1.264760736,0.25329121,0.324206418,0.098229046,0.346609769,-0.04382568,-0.027170609,0
-0.446216938,1.865484836,-0.022259631,0.964352021,-0.328037145,-0.344190186,-0.360443189,-0.08866314,0.011783325,-0.331251779,-0.014683622,0.022662773,-0.11157967,-0.103674339,0
1.810694534,-0.455656944,0.191677446,-1.032743589,0.614323273,-0.107178132,0.952353195,-1.086892808,0.292367455,-0.52280094,0.174762514,-0.113010762,0.083396252,-0.062840392,0
1.161123768,0.5788724,0.508671555,-0.159434811,0.103911841,0.07809239,1.776565169,-0.47030331,0.604629279,-0.483516563,0.187313673,0.096439597,-0.020170163,0.005956772,0
2.059029194,-1.067897046,0.37945855,0.260523539,-0.381452634,0.025139127,-0.523239155,1.423642977,0.00800774,-1.101308715,0.321849022,0.200883386,-0.05885403,-0.058277046,0
-0.655356907,-3.088227968,1.688673568,-0.115605712,1.002349346,-1.252818427,0.370796506,0.308965078,-2.781759195,1.55891777,0.27126325,-0.384932727,0.09849088,-0.05751349,0
